Subdivision,Group Segment,Revenue,Expenses,Service Month,Paid Month
Bigger,Medium,8249.32767,594.878242,39083,39114
Bigger,Medium,6557.872983,83.33938597,39114,39173
Pretty Small,Small,6180.035747,551.2667804,39142,39173
Bigger,Medium,9915.454311,336.8576784,39173,39203
Very Small,Small,4047.669178,481.0083009,39203,39203
Pretty Small,Small,4797.087505,962.3550943,39083,39173
Pretty Small,Small,6537.800101,931.9697248,39114,39114
Not as Big,Medium,3151.422775,848.213517,39142,39234
Not Real Big,Big,9504.781827,827.5632244,39173,39326
Not as Big,Medium,9378.14047,566.7976536,39203,39203
Not Real Big,Big,6772.133042,436.8799836,39083,39083
Pretty Small,Small,1854.632158,930.5482506,39114,39114
More than 500,Big,8303.942664,680.750372,39142,39173
Pretty Small,Small,6741.460064,418.0317385,39173,39173
Very Small,Small,4151.439758,336.4056384,39203,39234
Pretty Small,Small,7972.301891,917.1406009,39083,39083
Not Real Big,Big,10331.57847,440.4744097,39114,39114
Pretty Small,Small,3695.193021,217.6562865,39142,39173
Pretty Small,Small,7904.293625,764.5839324,39173,39234
Bigger,Medium,849.2599248,94.51703664,39203,39203
More than 500,Big,7157.627549,915.9245387,39083,39083
Bigger,Medium,3712.565012,432.5485875,39114,39203
Very Small,Small,7596.439503,134.822588,39142,39203
Very Small,Small,2198.657793,1037.294425,39173,39173
Not Real Big,Big,4723.995875,463.2899116,39203,39203
Bigger,Medium,1331.264518,959.2307323,39083,39083
Not as Big,Medium,2743.802619,222.9192619,39114,39142
More than 500,Big,5038.306813,306.9576869,39142,39142
Very Small,Small,10458.26602,692.7631083,39173,39173
Pretty Small,Small,7567.035149,720.319064,39203,39203
More than 500,Big,7688.434159,851.8513375,39083,39083
Pretty Small,Small,4023.22738,166.4942196,39114,39114
Not as Big,Medium,4551.60367,701.0456589,39142,39142
Not as Big,Medium,2665.114093,654.9796658,39173,39173
Very Small,Small,6589.124662,278.1883838,39203,39234
Not as Big,Medium,5220.42694,589.1737959,39083,39264
Not as Big,Medium,7282.188757,387.5496207,39114,39114
Pretty Small,Small,6444.583631,258.5026826,39142,39173
Very Small,Small,10299.02926,287.8049258,39173,39203
Pretty Small,Small,9841.229575,824.4756792,39203,39203
Very Small,Small,8237.847836,48.29593583,39083,39083
Bigger,Medium,6221.248622,414.8820747,39114,39173
Bigger,Medium,5401.241819,877.967909,39142,39173
Very Small,Small,10013.81117,807.8507674,39173,39234
More than 500,Big,8466.699812,450.5696926,39203,39203
Pretty Small,Small,8382.214302,958.2511684,39083,39203
Very Small,Small,8105.417292,647.6468244,39114,39142
Very Small,Small,10051.25539,1003.729882,39142,39173
Pretty Small,Small,3667.20119,680.7146779,39173,39173
Pretty Small,Small,7822.061839,924.3562961,39203,39203
Very Small,Small,4575.527172,657.6493201,39083,39114
Pretty Small,Small,3178.196919,756.2079622,39114,39114
Pretty Small,Small,1734.412429,864.1463819,39142,39142
Bigger,Medium,8601.066096,666.9245543,39173,39203
Bigger,Medium,8328.445677,898.7091878,39203,39234
Not as Big,Medium,9715.270001,536.2618535,39083,39083
Bigger,Medium,4722.773352,837.7133332,39114,39142
Not as Big,Medium,3434.694118,574.1248994,39142,39173
Very Small,Small,8696.755983,581.4444768,39173,39173
Not as Big,Medium,9195.079595,1000.672973,39203,39295
Not Real Big,Big,4168.871715,650.9037446,39083,39114
Not Real Big,Big,885.2432428,323.9768853,39114,39114
Bigger,Medium,3222.210543,760.2840913,39142,39173
Pretty Small,Small,3185.181743,455.464728,39173,39203
Pretty Small,Small,5050.975928,618.3260163,39203,39234
Very Small,Small,306.0780834,275.3065373,39083,39083
Pretty Small,Small,9598.976749,613.2911599,39114,39114
Very Small,Small,10338.80065,979.8520025,39142,39173
Bigger,Medium,7350.61229,271.9879436,39173,39264
Very Small,Small,7506.472645,408.0083326,39203,39295
Very Small,Small,1939.781098,413.9417923,39083,39114
More than 500,Big,7692.216849,1015.874301,39114,39114
Not Real Big,Big,1060.486546,607.3436712,39142,39173
Bigger,Medium,738.5081579,431.4749433,39173,39203
Very Small,Small,8174.839178,206.6453097,39203,39203
Very Small,Small,4368.806237,203.3753447,39083,39114
Pretty Small,Small,1292.519503,123.1056275,39114,39234
More than 500,Big,2210.748757,465.5261879,39142,39142
Not Real Big,Big,4240.744632,737.0688535,39173,39203
Very Small,Small,5927.04203,501.2388429,39203,39203
Very Small,Small,2597.35366,489.9869777,39083,39083
Very Small,Small,9549.486817,835.0236505,39114,39142
Pretty Small,Small,3931.33437,191.4213295,39142,39173
Pretty Small,Small,8578.80358,670.2412286,39173,39173
More than 500,Big,1946.136656,273.5117357,39203,39234
Not as Big,Medium,9021.016431,402.0587254,39083,39083
Not as Big,Medium,5575.67174,148.3339741,39114,39142
More than 500,Big,1193.066162,148.1347431,39142,39173
Very Small,Small,10340.53335,250.0846509,39173,39173
Very Small,Small,5512.767657,542.6187225,39203,39203
Not as Big,Medium,2555.999067,824.1294904,39083,39083
Pretty Small,Small,10157.81367,508.1698277,39114,39142
Bigger,Medium,8921.521857,259.3318537,39142,39173
More than 500,Big,10494.4433,565.4318597,39173,39203
Bigger,Medium,7007.768245,765.6916988,39203,39295
Not as Big,Medium,4811.037753,193.1749368,39083,39173
Pretty Small,Small,8657.827185,171.6024125,39114,39142
Bigger,Medium,8204.320599,278.7477844,39142,39234
Pretty Small,Small,4246.883191,644.516491,39173,39234
